Model,Supplier,Price ($),Geometry,Mass (oz),dPack (in),lPack (in),CdP,Cx,Ap (sqft),Cd0,S0 (sqft),D0 (in),nFill,maxLoad (lbf),Link
IFC-96-S,Fruity Chutes,477.28,annular,16.3,4.9,4.8,2.2,1.4,48.7084,1.236,86.701,96,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-compact-parachute-96inch-50lbs-20fps-28lbs-15fps
IFC-120-S,Fruity Chutes,596.17,annular,22,4.9,6.8,2.2,1.4,76.1069,1.236,135.4703,120,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-120-compact-parachute-79lbs-20fps-44lbs-15fps
IFC-30-SL,Fruity Chutes,164.37,annular,1.6,1.9,3.2,2.2,1.4,4.7567,1.236,8.4669,30,9,400,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-30-light-parachute-2-26lbs-15fps
IFC-36-SL,Fruity Chutes,183.88,annular,2.1,1.9,4.2,2.2,1.4,6.8496,1.236,12.1923,36,9,400,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-36-light-parachute-4lbs-15fps
IFC-42-SL,Fruity Chutes,195.8,annular,2.9,1.9,5.7,2.2,1.4,9.3231,1.236,16.5951,42,9,400,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-42-light-parachute-5-5lbs-15fps
IFC-30-S,Fruity Chutes,165.55,annular,1.88,1.9,3.7,2.2,1.4,4.7567,1.236,8.4669,30,9,725,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-30-compact-parachute-5bs-20fps-2-26lbs-15fps?variant=42348052283606
IFC-36-S,Fruity Chutes,177.38,annular,2.41,2.15,3.7,2.2,1.4,6.8496,1.236,12.1923,36,9,1500,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-36-compact-parachute-7bs-20fps-3-9lbs-15fps
IFC-36-SR,Fruity Chutes,183.29,annular,2.9,2.15,4.4,2.2,1.4,6.8496,1.236,12.1923,36,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-36-hp-compact-chute-7bs-20fps-3-9lbs-15fps
IFC-48-S,Fruity Chutes,198.66,annular,4.3,2.6,4.9,2.2,1.4,12.1771,1.236,21.6752,48,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-48-compact-parachute-12-5lbs-20fps-7lbs-15fps
IFC-60-S,Fruity Chutes,266.07,annular,6.8,3.9,3.2,2.2,1.4,19.0267,1.236,33.8676,60,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-60-compact-parachute-19lbs-20fps-12lbs-15fps
IFC-72-S,Fruity Chutes,313.37,annular,8.8,3.9,4.1,2.2,1.4,27.3985,1.236,48.7693,72,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-72-compact-parachute-28lbs-20fps-15lbs-15fps
IFC-84-S,Fruity Chutes,407.97,annular,13.4,3.9,6.2,2.2,1.4,37.2924,1.236,66.3804,84,9,2200,https://shop.fruitychutes.com/collections/iris-ultra-compact-chutes/products/iris-ultra-84-compact-parachute-39lbs-20fps-22lbs-15fps
CFC-12-S,Fruity Chutes,67.41,elliptical,0.85,1.6,2.4,1.5,1.6,0.754,0.8427,1.3421,12,8,600,https://shop.fruitychutes.com/collections/drogue-parachutes/products/12-compact-elliptical-parachute-0-5lb-20fps
CFC-12-N,Fruity Chutes,55.64,elliptical,1.3,1.9,2.6,1.5,1.6,0.754,0.8427,1.3421,12,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/12-elliptical-parachute-0-5lb-20fps
CFC-15-S,Fruity Chutes,68.59,elliptical,1,1.6,3.2,1.5,1.6,1.1781,0.8427,2.097,15,8,600,https://shop.fruitychutes.com/collections/drogue-parachutes/products/15-compact-elliptical-parachute-0-8lb-20fps
CFC-15-N,Fruity Chutes,59.26,elliptical,1.5,1.9,2.9,1.5,1.6,1.1781,0.8427,2.097,15,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/15-elliptical-parachute-0-8lb-20fps
CFC-18-S,Fruity Chutes,70.95,elliptical,1.16,1.6,3.2,1.5,1.6,1.6965,0.8427,3.0197,18,8,600,https://shop.fruitychutes.com/collections/drogue-parachutes/products/18-compact-elliptical-parachute-1-2lb-20fps
CFC-18-N,Fruity Chutes,62.89,elliptical,1.7,1.9,3.5,1.5,1.6,1.6965,0.8427,3.0197,18,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/18-elliptical-parachute-1-2-lb-20fps
CFC-24-S,Fruity Chutes,79.23,elliptical,1.6,1.6,4.4,1.5,1.6,3.0159,0.8427,5.3683,24,8,600,https://shop.fruitychutes.com/collections/drogue-parachutes/products/24-compact-elliptical-parachute-2-1lb-20fps
CFC-24-N,Fruity Chutes,70.4,elliptical,2.2,1.9,4.3,1.5,1.6,3.0159,0.8427,5.3683,24,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/24-elliptical-parachute-2-2lb-20fps
CFC-30-S,Fruity Chutes,85.14,elliptical,2.1,1.9,4.1,1.5,1.6,4.7124,0.8427,8.388,30,8,600,https://shop.fruitychutes.com/collections/drogue-parachutes/products/30-compact-elliptical-parachute-3-3lb-20fps
CFC-30-N,Fruity Chutes,78.1,elliptical,3.1,2.6,3,1.5,1.6,4.7124,0.8427,8.388,30,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/30-elliptical-parachute-3-3lb-20fps
CFC-36-S,Fruity Chutes,105.18,elliptical,3.3,2.6,3.4,1.5,1.6,6.7858,0.8427,12.0788,36,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/36-compact-elliptical-parachute-4-8lb-20fps
CFC-36-N,Fruity Chutes,105.18,elliptical,4.5,2.6,4,1.5,1.6,6.7858,0.8427,12.0788,36,8,1000,https://shop.fruitychutes.com/collections/drogue-parachutes/products/36-elliptical-parachute-4-8lb-20fps
CFC-42-N,Fruity Chutes,119.26,elliptical,5.7,2.6,6,1.5,1.6,9.2363,0.8427,16.4406,42,8,1500,https://shop.fruitychutes.com/collections/drogue-parachutes/products/42-elliptical-parachute-6-5lb-20fps
CFC-48-N,Fruity Chutes,140.18,elliptical,7.3,2.6,7,1.5,1.6,12.0637,0.8427,21.4734,48,8,1500,https://shop.fruitychutes.com/collections/drogue-parachutes/products/48-elliptical-parachute-8-6lb-20fps
TARC-16-S,Fruity Chutes,43.76,elliptical,0.6,3,0.589934322,1.5,1.6,1.3404,0.8427,2.3859,16,8,400,https://shop.fruitychutes.com/collections/tarc-low-and-mid-power-chutes/products/16-low-power-chute-0-9lbs-20fps
TARC-18-S,Fruity Chutes,44.94,elliptical,0.8,3,0.628131509,1.5,1.6,1.6955,0.8427,3.0197,18,8,400,https://shop.fruitychutes.com/collections/tarc-low-and-mid-power-chutes/products/18-low-power-chute-1-2lbs-20fps
TARC-20-S,Fruity Chutes,47.31,elliptical,0.8,3,0.628131509,1.5,1.6,2.0944,0.8427,3.728,20,8,400,https://shop.fruitychutes.com/collections/tarc-low-and-mid-power-chutes/products/20-low-and-mid-power-chute-1-5lbs-20fps
TARC-24-S,Fruity Chutes,53.22,elliptical,1,3,0.943611974,1.5,1.6,3.0159,0.8427,5.3683,24,8,400,https://shop.fruitychutes.com/collections/tarc-low-and-mid-power-chutes/products/24-low-and-mid-power-chute-2-2bs-20fps
